municipality,province,region,income_class,population,area_km2,pop_density_per_km2,solar_irradiance_kwh_m2_day,solar_norm,income_score,pop_density_norm,geo_score,final_score,web_score,tier,assessment,opportunities,risks,lat,lon
Talacogon,Agusan del Sur,Region XIII (Caraga),1st,37744,351.64,107.3,4.713,0.2307,6.0,0.2635,0.5834,0.4693,0.5794,MEDIUM,"Talacogon, as the ""wood processing capital"" of Agusan del Sur, presents a niche solar opportunity primarily within its industrial base of wood processing plants, which are energy-intensive and likely seek cost savings amid the province's strong economic rebound. While its overall population and income scores are modest, its urban status and existing commercial anchors provide a concentrated, if small, market for commercial rooftop solar. The recent provincial economic growth (5% in 2024) is a positive indicator for potential business investment in energy infrastructure.","[""Target the municipality's core wood processing industry (Wood Processing Plants/WPPs) for industrial-scale rooftop or ground-mounted solar installations, leveraging their high energy demand to offer significant operational cost reductions.""]","[""The municipality's very low population score (0.04) and modest composite geo score (0.42) indicate limited scale for residential solar deployment, making the market heavily reliant on a few industrial and commercial clients. Any economic downturn affecting the wood industry would disproportionately impact the entire solar market here.""]",8.4486711,125.7861565
Sibagat,Agusan del Sur,Region XIII (Caraga),1st,33271,728.84,45.6,4.713,0.2307,6.0,0.1807,0.5669,0.3587,0.315,MEDIUM,"Sibagat presents a nascent but developing market opportunity, supported by Agusan del Sur's strong provincial economic growth and confirmed early solar adoption in the municipality (e.g., the 30 kWp hybrid project in Brgy. Sinai). Its urban classification and available commercial land, despite a relatively low population score, suggest potential for commercial and institutional solar projects rather than dense residential uptake.","[""Target commercial or institutional property owners, as indicated by the advertised lots suitable for warehouses or businesses, to install solar systems that can reduce operational costs and benefit from the province's growing economy.""]","[""The municipality's very low population score (0.08) and limited local commercial anchor points (only 1 found) indicate a small immediate customer base, potentially limiting demand to a few large projects rather than widespread adoption.""]",8.81953,125.6931276
San Luis,Agusan del Sur,Region XIII (Caraga),1st,36264,1020.05,35.6,4.713,0.2307,6.0,0.1567,0.5621,0.4273,0.5887,MEDIUM,"San Luis, Agusan del Sur presents a mixed but potentially viable market for solar installation, buoyed by strong solar irradiance (0.73 score) and a recent positive trend in regional economic growth and visible solar adoption in neighboring areas like Prosperidad. However, its very small population score (0.06) and low income classification (5th class) indicate a severely limited local customer base and purchasing power, making large-scale residential demand unlikely without targeting specific commercial or institutional anchors.","[""Leverage the LGU's high-ranking government efficiency (e.g., 3rd in Investment Promotion Unit) and recent solar pilot programs in the province to propose a partnership for a municipal building, school, or community center solar project, serving as a flagship reference installation.""]","[""The local economy's historical and ongoing reliance on logging industries (as noted in web intelligence) could create community or political resistance to solar if perceived as competing for land use, and the very low local economic dynamism score (262nd) severely limits the potential for widespread private commercial investment.""]",8.4987859,125.7373865
Esperanza,Agusan del Sur,Region XIII (Caraga),1st,59065,1331.12,44.4,4.663,0.189,6.0,0.178,0.5517,0.3025,0.5713,MEDIUM,"Esperanza, Agusan del Sur presents a challenging short-term market due to its extremely low population and income scores, indicating minimal immediate purchasing power for residential solar. However, the recent P1 billion agro-industrial investment by Alif Agro-Industrial and the municipality's own procurement of solar streetlights signal emerging demand at the commercial/institutional level, particularly for large-scale or government-funded projects.","[""Target the nascent agro-industrial sector (e.g., Alif Agro-Industrial's plantation and refinery complex) with utility-scale solar or solar hybrid systems to meet their anticipated large energy demands in a remote area.""]","[""The project pipeline is heavily dependent on the execution of the Alif investment and local government infrastructure spending, which could be delayed by political shifts or external funding constraints, given the municipality's low-income status.""]",8.6788385,125.646773
Malay,Aklan,Region VI (Western Visayas),1st,64723,72.4,893.9,5.09,0.548,6.0,0.471,0.736,0.4528,0.7325,MEDIUM,"Malay presents a unique solar market defined by its role as the gateway to Boracay Island, where the high-energy demands of tourism infrastructure contrast sharply with the limited purchasing power of its permanent rural population. The decent solar irradiance is a positive factor, but the primary commercial opportunity lies not with local residents but with the numerous hotels, resorts, and businesses on Boracay seeking to stabilize costs and ensure reliable power amidst grid challenges.","[""Target solar power installations for the commercial and hospitality sector on Boracay Island, which is part of the Municipality of Malay, to capitalize on their need for reliable, cost-effective electricity.""]","[""A significant risk is the potential for stricter environmental and business permit enforcement, as indicated by the news of numerous establishments being cited for violations, which could complicate project approvals and timelines for new solar installations.""]",11.9000941,121.9099
Kalibo,Aklan,Region VI (Western Visayas),1st,93218,39.81,2341.4,4.743,0.2557,6.0,0.5656,0.6526,0.5584,0.8044,MEDIUM,"Kalibo, as the capital of Aklan and a primary gateway to Boracay, has a strong commercial and tourism-driven economy that aligns with its urban classification and moderate income score. The presence of numerous accommodation establishments and commercial anchors presents a clear market for rooftop solar on hotels and businesses to offset high energy costs, though its moderate solar irradiance means financial returns must be carefully calculated.","[""Targeting the significant hospitality sector\u2014hotels, resorts, and pension houses listed as authorized establishments in Kalibo\u2014for commercial-scale rooftop solar installations to power their operations and offer green amenities to tourists.""]","[""The local economy's heavy dependence on tourism and the annual Ati-Atihan festival could make commercial clients' cash flow and investment capacity seasonal and vulnerable to travel disruptions.""]",11.7088966,122.3640225
Ibajay,Aklan,Region VI (Western Visayas),1st,53399,148.54,359.5,4.854,0.3494,6.0,0.3816,0.6486,0.5284,0.8538,MEDIUM,"Ibajay's position as an urban center within Aklan—a province highlighted for its exceptional economic growth—provides a promising foundation for commercial solar adoption, supported by evidence of prior small-scale installations. However, its 4th-class income status and only moderate solar irradiance scores suggest that upfront cost sensitivity and more modest energy savings could limit the pace of residential market penetration.","[""Target the 5 identified commercial/industrial anchors (e.g., warehouses, larger businesses) with tailored commercial rooftop solutions, leveraging the town's economic momentum and their higher ability to finance projects.""]","[""The moderate income classification (4th class) combined with a moderate solar irradiance score (0.40) could create a significant affordability and payback period challenge for the average household, potentially dampening residential demand.""]",11.8207622,122.1617859
Nabas,Aklan,Region VI (Western Visayas),2nd,41568,87.49,475.1,4.917,0.4029,5.0,0.409,0.5603,0.6538,0.7506,MEDIUM,"Nabas presents a strong technical case for solar adoption due to its high solar irradiance, but its market potential is tempered by its small, urban population. The ongoing economic growth in Aklan, particularly in tourism, and the presence of commercial anchors suggest viable demand, though competition from the newly approved 50MW wind power project in the municipality could split the renewable energy investment focus.","[""Target the growing tourism and hospitality sector (hotels, resorts, commercial buildings) in Nabas and nearby coastal areas of Aklan with solar solutions to offset high electricity costs and meet the demand for sustainable operations.""]","[""The confirmed commercial viability and development of PetroGreen's 50MW Nabas wind project may divert government and investor attention, as well as grid capacity planning, toward wind energy, potentially marginalizing solar initiatives in the short term.""]",11.828728,122.0924043
New Washington,Aklan,Region VI (Western Visayas),2nd,49204,55.38,888.5,4.743,0.2557,5.0,0.4704,0.5211,0.7725,0.8506,MEDIUM,"New Washington presents a promising solar market due to its exceptionally high solar irradiance (0.90) and its role as a commercial hub for eastern Aklan, which is supported by a moderate business presence. However, its 3rd-class income classification and the news about local cooperative governance issues suggest a need for careful financing models and community engagement. The town's coastal geography and established Poblacion center make it a logical first target for commercial rooftop and institutional solar projects in the province.","[""Target the commercial and institutional anchors in the Poblacion area (e.g., the 6 identified commercial/industrial anchors and municipal buildings like the mentioned Bgy Pinamuk-an Health Center) with solar leasing or power purchase agreements (PPAs) to offset their high electricity costs.""]","[""Potential financial or operational instability among key local economic actors, as hinted by the non-compliance reports of local consumer cooperatives, which could affect the creditworthiness of potential community or group-buy customers.""]",11.6508856,122.4320224
Banga,Aklan,Region VI (Western Visayas),2nd,41188,64.42,639.3,4.743,0.2557,5.0,0.4381,0.5146,0.5665,0.5981,MEDIUM,"Banga, Aklan presents a mixed but potentially viable market. Its high income classification (1st class) and urban setting indicate a customer base with the financial means for solar investments, and web intelligence shows existing local solar awareness. However, the notably low solar irradiance score (0.27) is a significant technical limitation that will impact system efficiency and return on investment for residents.","[""Target the growing residential property market (evidenced by numerous listings) and commercial entities with the 1 municipal anchor, marketing solar as a premium, value-adding feature for new constructions and businesses seeking energy cost reduction.""]","[""The very low solar irradiance score (estimated 1432 kWh/kWp/year) is a primary risk, as it directly reduces the energy output and financial savings of any installed system, potentially undermining the core value proposition and customer satisfaction.""]",11.6390926,122.332917
Libacao,Aklan,Region VI (Western Visayas),2nd,28525,177.57,160.6,4.683,0.2057,5.0,0.3028,0.4701,0.2654,0.6038,MEDIUM,"Libacao's rural, low-income profile and very limited commercial activity present a challenging market for standard residential solar installations. While the solar irradiance is moderate, the extremely low population and income scores indicate minimal immediate demand from households or businesses for this capital-intensive upgrade.","[""Target the agricultural sector, specifically the Libacao Development Cooperative (LDC), to pilot solar-powered irrigation systems or community-owned solar microgrids for farms, leveraging cooperative structures for financing and management.""]","[""The near-zero income classification and lack of commercial/industrial anchors severely limit the addressable market, making it difficult to achieve the sales volume needed for a sustainable, standalone operation in the municipality.""]",11.480692,122.3024183
Batan,Aklan,Region VI (Western Visayas),3rd,33932,83.58,406.0,4.925,0.4094,4.0,0.3936,0.447,0.5965,0.5969,MEDIUM,"Batan, Aklan presents as a rural, agriculturally-focused municipality with a modest but likely underserved commercial base, as indicated by its low population density and the single commercial anchor. Its 2nd-class income status and active farm lot market suggest a community with some capital and land availability, creating a potential niche for solar solutions that support agricultural or small business productivity.","[""Develop and promote agrivoltaic solutions (combining solar panels with farming) or solar-powered irrigation systems, directly catering to Batan's primary agricultural economic base.""]","[""The extremely low population score (0.02) severely limits the addressable market for standard residential solar installations, making it difficult to achieve economies of scale.""]",11.5869107,122.4962482
Numancia,Aklan,Region VI (Western Visayas),3rd,37428,24.03,1557.8,4.754,0.2653,4.0,0.5255,0.423,0.5968,0.5769,MEDIUM,"Numancia presents a promising urban market in Western Visayas, evidenced by its high income classification (0.80 score) and active real estate development, which aligns with the premium property listings noted. However, its moderate solar irradiance (1,551 kWh/kWp/year) and the presence of an existing local solar installer indicate a competitive but not saturated market, requiring a strategy focused on new residential constructions and the town's role as a commercial corridor.","[""Target the new housing developments (as seen in the \u20b110.8M listings) with tailored residential solar packages, leveraging the high property values and income levels to market solar as a value-add feature.""]","[""Direct competition from an established local player (\""Rjmiles Solar Panel Installation\"" in neighboring Makato and a warehouse in Numancia itself) could erode market share and compress margins if not differentiated.""]",11.704435,122.3288949
Makato,Aklan,Region VI (Western Visayas),3rd,30650,60.25,508.7,4.754,0.2653,4.0,0.4157,0.401,0.2854,0.625,MEDIUM,"Makato, Aklan presents a mixed profile for solar installation; while its urban classification and moderate solar irradiance offer a baseline, its status as a 6th class municipality with very low income scores indicates limited commercial capital for investment. However, the high-rated local businesses and active community trade fairs, such as the Municipal Agri-Fishery Trade Fair, suggest a resilient entrepreneurial spirit that could be channeled into cooperative or community-based solar models. The recent mention of solar installations by a provider like Spectrum indicates existing market activity, albeit likely small-scale.","[""Leverage the active local entrepreneur groups, like the SLP Associations participating in the trade fair, to develop bundled solar solutions for their small-scale agri-processing, weaving, or retail operations, potentially using micro-financing or livelihood program linkages.""]","[""The 6th class income classification signals very low municipal and household spending power, making traditional residential sales or large commercial projects financially unviable without subsidies or innovative financing (e.g., leasing).""]",11.7116342,122.2924728
Altavas,Aklan,Region VI (Western Visayas),3rd,26181,94.79,276.2,4.751,0.2626,4.0,0.3558,0.3881,0.4598,0.6931,MEDIUM,"Altavas presents a challenging but targeted solar market, as its moderate solar resource is offset by very low local income and population density scores, which are well below regional averages. The municipality's support for MSMEs via the Negosyo Center and the presence of small commercial anchors like bakeries and fashion boutiques suggest a specific niche for commercial solar. However, the low price level of local businesses indicates limited capital for investment without external financing.","[""Partner directly with the Negosyo Center Altavas and its network of MSMEs to offer group purchasing or lease-to-own solar packages for small shops and bakeries, leveraging their potential to benefit from reduced operational costs.""]","[""The 5th-class income status significantly limits residential affordability, making it difficult to secure sales without third-party financing or government subsidy programs, which could slow market penetration.""]",11.5375818,122.4871569
Balete,Aklan,Region VI (Western Visayas),3rd,30310,118.2,256.4,4.743,0.2557,4.0,0.3486,0.3842,0.3009,0.5962,MEDIUM,"Balete presents a mixed market profile for solar adoption; its low solar irradiance score and 5th-class income classification suggest limited residential purchasing power, but its urban status and proximity to Aklan's economic hub (Kalibo) and the Boracay tourism corridor indicate potential for commercial or institutional solar projects, especially given evidence of ongoing local development initiatives.","[""Target solar installations for emerging tourism-linked businesses (e.g., hotels, resorts) and local government facilities in Balete, leveraging its strategic location near Boracay and stated economic development goals.""]","[""Low household disposable income and a relatively small local commercial base could severely limit the addressable residential and standard commercial market, making project financing and return on investment challenging.""]",11.5555978,122.3800007
Buruanga,Aklan,Region VI (Western Visayas),4th,19878,69.67,285.3,5.09,0.548,3.0,0.359,0.3761,0.3836,0.61,MEDIUM,"Buruanga presents a mixed but challenging market; its relatively high population (score 0.79) offers a potential customer base, but its very low income classification (5th class, score 0.20) and a surprisingly low solar irradiance score (0.11) significantly dampen the commercial viability of standard residential solar offerings. The presence of high-end property listings suggests a niche, wealthy segment, but the overall municipal economy appears limited, with only one major commercial anchor found.","[""Target the niche market of high-value, luxury property owners and developers in Buruanga (e.g., near Boracay) who are less price-sensitive and can afford premium solar installations, leveraging the existing local solar awareness from companies like SOLANA4U.""]","[""The extremely low income score combined with the low solar irradiance score indicates a fundamental mismatch between average local purchasing power and the energy savings potential, making widespread adoption of solar panels financially unattractive for the majority of the municipality's residents.""]",11.8444711,121.8882356
Malinao,Aklan,Region VI (Western Visayas),3rd,24971,209.73,119.1,4.743,0.2557,4.0,0.2736,0.3692,0.2555,0.5887,MEDIUM,"Malinao presents a challenging case for solar installation; its urban classification and governance awards indicate a degree of administrative capability, but its exceptionally low solar irradiance score and 5th class income classification suggest both low energy generation potential and significant customer budget constraints. The real estate activity points to ongoing development, but the fundamental solar resource limitation and low economic capacity make it a high-friction market.","[""Leverage the municipality's demonstrated excellence in local governance to partner on public infrastructure projects (e.g., solar-powered streetlights, municipal building retrofits) as a proof-of-concept before targeting residential/commercial markets.""]","[""The near-zero solar irradiance score indicates Malinao may have persistently cloudy conditions, severely limiting energy output and undermining the core value proposition for both rooftop and ground-mount systems.""]",11.6437882,122.3077295
Madalag,Aklan,Region VI (Western Visayas),3rd,19043,291.36,65.4,4.702,0.2218,4.0,0.2153,0.3457,0.5216,0.5975,MEDIUM,"Madalag presents a strong technical case for solar with very high irradiance, but its large, sparsely populated, and low-income (4th class) profile suggests adoption will be limited to specific anchor projects like municipal buildings, agricultural facilities, or high-value eco-tourism ventures rather than widespread residential uptake. The prior NGO and installer activity confirms niche demand, but the market is likely small and project-based.","[""Partner with the municipal government or agricultural cooperatives to develop solar-powered irrigation systems or energy solutions for barangay assemblies and local facilities, leveraging the documented high solar potential and existing government/NGO project interest.""]","[""The low population density and income classification severely limit the addressable residential market, making consumer-facing solar sales economically unviable and leaving the company dependent on a very small number of institutional or grant-funded projects.""]",11.5265494,122.306494
Tangalan,Aklan,Region VI (Western Visayas),4th,24004,67.74,354.3,4.917,0.4029,3.0,0.3802,0.3295,0.4724,0.4437,MEDIUM,"Tangalan, Aklan presents a strong solar resource potential (0.85 irradiance score) characteristic of the province's sunny climate, but its very small population (0.03 score) and 4th class income status indicate a limited local market scale for residential installations. The presence of 3 commercial anchors and active LGU planning suggest some economic activity, though it is likely overshadowed by the dominant tourism economy of nearby Boracay.","[""Target the emerging commercial and tourism-related facilities (e.g., resorts, dive shops, lodges) along Tangalan's coastline, capitalizing on the high solar irradiance to offer them energy independence and resilience against grid outages, a key concern for tourist businesses.""]","[""The 4th class municipal income classification and modest local economy could result in high price sensitivity and slow adoption, making projects dependent on external funding (like NGP or RE grants) or requiring very attractive ROI periods to attract local businesses.""]",11.7770629,122.2601806
Lezo,Aklan,Region VI (Western Visayas),4th,16200,19.84,816.4,4.743,0.2557,3.0,0.4621,0.2944,0.6125,0.6894,HIGH,"Lezo's exceptional solar irradiance presents a strong technical opportunity, particularly for its agricultural base and skilled pottery-making community, which are energy-intensive. However, its very small population and classification as the smallest municipality in Aklan inherently limit the total addressable market size for a residential-focused business.","[""Target the \""Pottery Capital\"" by offering tailored solar and storage solutions for pottery workshops to reduce kiln energy costs, alongside financing options for the affordable housing segment noted in property listings.""]","[""The municipality's extremely small geographic and population footprint creates a hard ceiling on market potential; high customer acquisition costs may be required to capture a significant share of the limited local demand.""]",11.6671058,122.3286614
Malilipot,Albay,Region V (Bicol Region),1st,41066,43.42,945.7,5.133,0.5849,6.0,0.4765,0.75,0.7024,0.5913,MEDIUM,"Malilipot, as a 1st-class municipality within Albay, is positioned within a province that has made a strong policy commitment to 100% renewable energy by 2030, creating a favorable regulatory backdrop. Its moderate solar irradiance score and high income classification suggest economic capacity for investment, making it a viable candidate for commercial or institutional solar installations to support this provincial transition.","[""Leverage Albay's province-wide renewable energy MOU to partner with the municipal government or local commercial anchors (like the identified mall/industrial facility) for a pilot solar project, aligning with the official transition plan.""]","[""The high-level provincial renewable energy commitment may face delays or implementation challenges at the municipal level, particularly concerning local policy support, grid interconnection logistics, or securing financing for projects in a rural setting.""]",13.3190483,123.7392658
Tiwi,Albay,Region V (Bicol Region),1st,56871,127.08,447.5,5.166,0.6123,6.0,0.4031,0.7449,0.7105,0.63,MEDIUM,"Tiwi, known as the ""Geothermal Capital of the Philippines"" due to its established power plants, presents a compelling solar opportunity within its existing energy ecosystem. Its recent industrial developments and 1st-class income status provide a strong economic base for adopting solar power in commercial and industrial settings, aligning with its vision to become a premier industrial zone.","[""Target the commercial and industrial sectors (like ceramics manufacturing and emerging agro-processing) within Tiwi's growth zones with solar installations or hybrid solar-geothermal power solutions, leveraging its high composite geo score and existing energy infrastructure.""]","[""The municipality's deep-rooted identity and economic ties to geothermal energy could create institutional inertia or policy resistance against prioritizing solar energy in the local energy mix.""]",13.4569196,123.6796912
Polangui,Albay,Region V (Bicol Region),1st,89344,123.21,725.1,5.106,0.5616,6.0,0.4505,0.7367,0.7247,0.6969,MEDIUM,"Polangui, Albay is a 1st-class municipality with high economic capacity, evidenced by its top income score and proximity to major renewable energy infrastructure like SM's geothermal plants in Albay. While its solar irradiance is moderate, the high composite geo score and active commercial environment suggest a viable market for rooftop solar installations targeting businesses and affluent households.","[""Leverage Polangui's strong commercial base and the regional push by SM Group toward renewable energy by offering tailored solar solutions for its 6 identified commercial/industrial anchors (e.g., warehouses, factories, or malls).""]","[""The municipality's location in the Bicol Region exposes installations to high typhoon risk, which could increase insurance costs and necessitate more expensive, durable mounting systems, impacting project economics.""]",13.293769,123.4843893
City of Legazpi,Albay,Region V (Bicol Region),1st,210616,158.12,1332.0,5.016,0.4858,6.0,0.5102,0.7221,0.7203,0.7162,MEDIUM,"Legazpi City's status as a 1st-class urban capital with strong commercial activity presents a solid market for commercial and industrial solar installations, supported by its high income score and numerous business parks. The city's moderate solar irradiance is a notable constraint for utility-scale projects, but the density of potential commercial clients offers a viable path for rooftop and distributed solar adoption.","[""Target commercial and industrial establishments within the Legazpi City Special Economic Zone and other business parks for rooftop solar and power purchase agreements, leveraging the high concentration of businesses and existing economic development incentives.""]","[""The city's location in Albay province, directly in the shadow of Mayon Volcano, poses a significant operational risk from volcanic ashfall, which can severely damage solar panel efficiency and require frequent, costly maintenance.""]",13.1388505,123.7345746
Libon,Albay,Region V (Bicol Region),1st,72135,223.61,322.6,5.106,0.5616,6.0,0.371,0.7208,0.7185,0.7131,MEDIUM,"Libon, Albay, as a 1st class urban municipality, presents a strong commercial base for solar adoption, evidenced by its high income score and presence of commercial anchors. However, its moderate solar irradiance and relatively lower population density compared to major urban centers suggest a targeted market focus on its existing commercial and industrial sector rather than mass residential.","[""Leverage the recent ADB financing for commercial rooftop solar to target Libon's existing commercial/industrial anchors (malls, warehouses) for PPA or leasing deals, capitalizing on the municipality's high income and proven economic activity.""]","[""Libon's location in the Bicol Region exposes installations to high typhoon risk and potential severe weather damage, which could increase insurance costs and necessitate specialized, more expensive mounting systems.""]",13.2988701,123.4360839
Bacacay,Albay,Region V (Bicol Region),1st,72298,119.22,606.4,5.061,0.524,6.0,0.4329,0.72,0.6832,0.5975,MEDIUM,"Bacacay, Albay, as a 1st-class municipality with a strong income score (1.00) and existing commercial activity, presents a prime market for commercial and industrial rooftop solar, driven by its economic capacity and Albay's stated goal to transition to 100% renewable energy by 2030. Its moderate solar irradiance and the province's proactive policy environment create a favorable, though not optimal, location for installations, particularly targeting businesses with high daytime energy consumption.","[""Capitalize on Albay's official Memorandum of Understanding for a renewable energy transition to develop public-private partnerships for solar installations on municipal buildings, schools, or the identified commercial/industrial anchors within Bacacay.""]","[""Bacacay's coastal location in Typhoon Alley (Albay is highly prone to typhoons like Typhoon Reming) poses a significant risk to physical infrastructure and project insurance costs, requiring robust, typhoon-resistant mounting systems and detailed risk assessments.""]",13.2926072,123.7912494
Daraga,Albay,Region V (Bicol Region),1st,138000,124.12,1111.8,5.016,0.4858,6.0,0.4924,0.7185,0.734,0.77,HIGH,"Daraga, Albay presents a strong commercial and institutional case for solar adoption due to its 1st-class income status, high composite geo score, and active local governance recognized for innovation, which aligns with Albay's province-wide commitment to renewable energy transition. While its solar irradiance is moderate for the region, the presence of commercial anchors and a business-friendly environment suggest higher viability for commercial/industrial rooftop projects over pure residential play.","[""Leverage the municipality's high-functioning local councils and its alignment with Albay's \""Go Green Grow Green\"" program to establish public-private partnerships for solar installations on commercial/industrial anchors (malls, warehouses) and government buildings.""]","[""The municipality's location at the foot of Mayon Volcano and within the typhoon belt of the Bicol Region poses a significant physical risk to solar infrastructure, potentially affecting project insurance costs and long-term asset resilience.""]",13.1479697,123.7120775
Oas,Albay,Region V (Bicol Region),1st,64890,245.69,264.1,5.106,0.5616,6.0,0.3514,0.7169,0.7116,0.6994,HIGH,"Oas, Albay, as a 1st class urban municipality, presents a strong economic profile for commercial solar adoption, particularly supported by its perfect income score and known commercial activity. However, its moderate solar irradiance (1491 kWh/kWp/year) is a limiting factor compared to sunnier regions, though it is still viable. The province-wide momentum, with Albay securing massive renewable energy investments and ADB financing for commercial rooftop solar, creates a highly favorable context for project development.","[""Directly target the municipality's identified commercial/industrial anchors (e.g., warehouses, factories) with rooftop solar proposals, leveraging the recent ADB-Buskowitz deal as a model for financing and the province's demonstrated commitment to large-scale RE.""]","[""The municipality's moderate solar irradiance could result in lower energy yield per installed system compared to other potential project sites in Albay, impacting return on investment calculations and possibly requiring more aggressive pricing or incentives.""]",13.2570425,123.5001669
Pio Duran,Albay,Region V (Bicol Region),1st,48713,140.57,346.5,5.059,0.5225,6.0,0.378,0.7085,0.6724,0.5881,MEDIUM,"Pio Duran presents an interesting profile as a rural municipality with a surprisingly high 1st-class income classification, indicating potential purchasing power for solar solutions despite its non-urban setting. The moderate solar irradiance (0.52 score) is viable for solar, and its high composite geo score (0.71) suggests favorable geographic conditions for installation or access. However, the limited commercial infrastructure (only 1 anchor business) indicates the market is likely driven by residential or small-scale agricultural needs rather than large industrial demand.","[""Leverage the high income classification to target residential and small business (sari-sari store, processing) solar installations, as households likely have the capital to invest in rooftop PV to offset electricity costs in this rural area.""]","[""The rural nature and limited commercial/industrial anchors (1 found) severely constrain opportunities for large-scale, grid-connected projects, potentially limiting the total addressable market to smaller, distributed systems.""]",13.0296985,123.4431423
Guinobatan,Albay,Region V (Bicol Region),1st,84420,175.39,481.3,5.037,0.5034,6.0,0.4103,0.7082,0.7093,0.7119,MEDIUM,"Guinobatan's status as a 1st-class municipality with a significant urban population presents a strong commercial and industrial customer base for solar solutions, supported by its moderate solar irradiance and positive composite geo score. The presence of several commercial anchors and recent regional news about ADB financing for commercial solar projects aligns directly with Guinobatan's profile, indicating a ready market for rooftop or distributed solar systems.","[""Leverage the Asian Development Bank's active financing for commercial/industrial solar in the Philippines to develop a flagship project with one of Guinobatan's six major commercial/industrial anchors, such as a mall or warehouse complex.""]","[""Guinobatan is in the Bicol Region, which is highly prone to typhoons and volcanic activity (from nearby Mayon), posing a direct physical risk to solar installations and requiring significant investment in resilient engineering and insurance.""]",13.1904597,123.5999458
Camalig,Albay,Region V (Bicol Region),1st,73087,131.95,553.9,5.016,0.4858,6.0,0.424,0.7048,0.7096,0.7206,MEDIUM,"Camalig, Albay, presents a strong commercial solar opportunity due to its high 1st-class income classification and existing commercial anchors, suggesting a customer base with the capital for solar investments. Its solar irradiance, while moderate, is viable for installations, especially given the national policy push for renewables exemplified by ACEN's regional projects. However, being situated in a high volcanic hazard zone (at the foot of Mayon Volcano) is a critical local consideration.","[""Target the 3 identified commercial/industrial anchors (e.g., malls, warehouses) and the businesses with high average ratings for rooftop or ground-mounted solar installations to offset their operating costs.""]","[""Proximity to the highly active Mayon Volcano poses a direct physical risk to solar infrastructure from ashfall, lahar, or volcanic events, potentially leading to damage or operational disruption.""]",13.1815738,123.6552668
Malinao,Albay,Region V (Bicol Region),2nd,49570,109.38,453.2,5.166,0.6123,5.0,0.4043,0.6327,0.6465,0.6262,MEDIUM,"Malinao, Albay presents a compelling opportunity as a 2nd-class municipality with a high income score (0.80), suggesting a customer base with greater relative spending power within the region. Its solar irradiance (0.61) is decent, but the key driver is Albay province's explicit and recent political commitment to a 100% renewable energy transition by 2030, creating a strong policy tailwind for solar adoption and potential large-scale projects.","[""Leverage the provincial government's MOU and renewable energy plan to target Malinao's commercial anchors (e.g., the single large commercial/industrial facility) for a large-scale rooftop or ground-mounted solar installation, positioning it as a pilot project within Albay's broader energy transition.""]","[""Malinao's rural location in typhoon-prone Albay poses a significant risk of project delays, increased insurance costs, and potential damage to infrastructure, which could deter investment without robust engineering and contingency planning.""]",13.3974574,123.7049776
Santo Domingo,Albay,Region V (Bicol Region),2nd,37586,54.86,685.2,5.061,0.524,5.0,0.4449,0.6099,0.653,0.7012,MEDIUM,"Santo Domingo, Albay presents a moderately attractive market due to its above-average municipal income (2nd class) and population size, which could support a solid base for residential solar adoption, especially with national tailwinds from the Green Energy Options Program. However, its rural character and the absence of large commercial or industrial anchors suggest the market is primarily residential, and its moderate solar irradiance (0.52 score) is a limiting physical factor compared to sunnier parts of the country.","[""Leverage the strong income score (0.80) by offering tailored solar financing or lease-to-own packages to households in Santo Domingo, positioning it as a smart investment that aligns with national renewable energy incentives and reduces electricity costs.""]","[""The municipality's rural nature and lack of commercial anchors, combined with Albay's high vulnerability to typhoons, pose a significant risk. Project viability could be undermined by logistical challenges for installations and potential damage to systems from severe weather events common in the Bicol Region.""]",13.2377089,123.7780984
Rapu-Rapu,Albay,Region V (Bicol Region),2nd,36281,154.38,235.0,,0.5406,5.0,0.34,0.5947,0.5408,0.3625,MEDIUM,"Rapu-Rapu presents a unique, high-potential micro-market as an island municipality where a state-funded solar project has already demonstrated technical feasibility and created initial solar adoption among 257 households. The strong provincial policy support for 100% renewable energy by 2030, combined with the island's need for stable power, creates a clear mandate for expanding solar solutions beyond basic household electrification to commercial and community-scale systems.","[""Target the commercial/industrial anchors and the 257 newly electrified households' surrounding areas to offer solar-plus-storage microgrid solutions, reducing dependence on expensive diesel generators and unstable supply for local businesses.""]","[""Logistical complexity and higher installation/maintenance costs due to Rapu-Rapu being an island, which could significantly impact project economics and serviceability compared to mainland installations.""]",13.1856583,124.1267772
Manito,Albay,Region V (Bicol Region),2nd,26425,94.08,280.9,4.98,0.4558,5.0,0.3575,0.5685,0.5984,0.6156,MEDIUM,"Manito, Albay presents a promising, albeit niche, market for solar installations given its favorable income classification (2nd class) and decent solar irradiance within a province actively pursuing renewable energy transitions. The municipality's rural nature and limited commercial anchors suggest the strongest initial opportunity lies in rooftop systems for the relatively affluent residential sector or small businesses to combat rising utility costs. However, its overall low population density limits the total addressable market.","[""Develop a targeted campaign for Manito's residential consumers and small commercial establishments (like the 20 businesses with high ratings) by financing and installing rooftop solar to hedge against upcoming urban water tariff increases and the national trend of fluctuating industrial electricity rates.""]","[""The municipality's rural classification and low population score imply potential challenges with grid infrastructure stability and higher logistical costs for installation/maintenance teams, which could affect project viability and net metering feasibility.""]",13.1242602,123.8677604
